"INDEX2","chat gpt"
"50","  Agar aapke paas aur koi sawal ho ya aur madad ki zarurat ho."
"51","Feel free to reach out anytime."
"52","  Kabhi bhi sampark karne mein hichkichayen mat."
"53","We're here to help."
"54","  Hum madad karne ke liye yahan hain."
"55","Thank you, Miss Simpson."
"56","  Dhanyavaad, Miss Simpson."
"57","Could you please tell me the reason for the cancellations?"
"58","  Kya aap mujhe cancellations ka karan bata sakti hain?"
"59","So that I may assist you with the process."
"60","  Taaki main aapko process mein madad kar sakoon."
"61","I would appreciate it if you could stay on the line."
"62","  Main aapka shukriya ada karunga agar aap line par ruk sakein."
"63","To let us know how we're doing."
"64","  Taaki humein pata chal sake ki hum kaise kar rahe hain."
"65","To better improve our customer service."
"66","  Taaki hum apni customer service ko behtar bana sakein."
"67","Oh, I'm so sorry to hear you're experiencing issues."
"68","  Oh, mujhe bahut afsos hai sun kar ki aapko issues ho rahe hain."
"69","I'd like to help address your concerns."
"70","  Main aapki chintaon ko suljhane mein madad karna chahta hoon."
"71","And see if there's anything."
"72","  Aur dekhna chahta hoon agar koi cheez hai."
"73","I understand your concern."
"74","Main aapki chinta ko samajhta hoon."
"75","Could you tell me a little bit about the dress you are interested in?"
"76","Kya aap mujhe thoda sa bata sakti hain us dress ke baare mein jisme aap interested hain?"
"77","Or perhaps the item number."
"78","   Ya shayad item number bata sakti hain."
"79","I understand your hesitation, Miss Thompson."
"80","Main samajhta hoon aapki hesitation, Miss Thompson."
"81","The price may seem high upfront, but let me walk you through the benefits you get with your Health Life Magazine subscription."
"82","Price shayad pehle zyada lage, par main aapko Health Life Magazine subscription ke benefits samjhaata hoon."
"83","We offer exclusive content only available to our subscribers, including weekly articles from health experts."
"84","Hum exclusive content offer karte hain jo sirf humare subscribers ke liye available hota hai, jaise weekly articles health experts se."
"85","Personalized wellness plans, access to our premium video library with guided fitness routines and nutritional recommendations based on your own individual goals."
"86","Personalized wellness plans, humari premium video library ka access, jisme guided fitness routines aur nutritional recommendations hain jo aapke personal goals par based hain."
"87","Plus, you'll receive discounts on various health-related products and services."
"88","Aur aapko health-related products aur services par discounts milenge."
"89","Over the course of 6 months, that works out to less than $10 a month."
"90","6 mahine ke dauran, ye $10 se kam per month padta hai."
"91","When you look at the long-term value, the subscription is really quite cost-effective for all the benefits you're getting."
"92","Agar aap long-term value dekhein, to ye subscription sach mein kaafi cost-effective hai jitne benefits aapko mil rahe hain."
"93","I highly recommend that a lot of our members find great value in the Fitness and Nutrition plans."
"94","Main aapko highly recommend karta hoon ki humare kaafi members Fitness aur Nutrition plans mein accha value paate hain."
"95","There are some wonderful testimonials on the links provided."
"96","Diye gaye links par kuch behad acchi testimonials hain."
"97","Please take a few minutes to watch those and you can see firsthand how members just like you have used the site to achieve their goals."
"98","Kripya unhe dekhne ke liye kuch minute nikaalein aur aap dekh sakte hain kaise members ne site ka use karke apne goals achieve kiye hain."
"99","You'll also have access to live webinars with top health experts and personal trainers."
"100","Aapko top health experts aur personal trainers ke saath live webinars ka access bhi milega."
"101","It's a comprehensive Fitness and Wellness package that supports a healthier lifestyle."
"102","Yeh ek comprehensive Fitness aur Wellness package hai jo ek healthier lifestyle ko support karta hai."
"103","Plus, if you enjoy the service and stick with it, we offer loyalty discounts in the future."
"104","Aur, agar aapko service pasand aati hai aur aap isse continue karte hain, to hum future mein loyalty discounts offer karte hain."
"105","I completely understand how that could be surprising."
"106","Main bilkul samajhta hoon ki yeh surprising ho sakta hai."
"107","It looks like the late payment fee was applied because your payment last month was posted a few days after the due date."
"108","Aisa lagta hai ki late payment fee lagayi gayi thi kyunki aapka payment pichle mahine due date ke kuch din baad post hua tha."
"109","And as for the data overage, it seems like your plan has a certain limit on data usage and you exceeded that limit during your trip."
"110","Aur data overage ke baare mein, lagta hai ki aapke plan mein data usage par ek limit hai aur aapne apne trip ke dauran us limit ko exceed kiya."
"111","That can definitely happen when we're out and about using GPS, streaming, and so on."
"112","Yeh definitely ho sakta hai jab hum bahar hote hain aur GPS, streaming, etc. ka use karte hain."
"113","Would you like me to go over your current data plan and options in case there's a more suitable plan that could prevent these overage charges in the future?"
"114","Kya aap chahenge ki main aapke current data plan aur options ko dekho, taaki agar koi aur suitable plan ho jo future mein in overage charges ko rok sake?"
"115","If you need to remove a dependent from my plan, okay."
"116","Agar aapko mera dependent plan se hataana hai, theek hai."
"117","If you need to remove a dependent from your plan, you can do so by logging into your account on our website and following the prompts."
"118","Agar aapko apne plan se dependent hataana hai, to aap apne account mein login karke website par diye gaye prompts ko follow kar sakte hain."
"119","Or by calling our customer service line and speaking with an agent."
"120","Ya phir aap humari customer service line par call karke agent se baat kar sakte hain."
"121","You'll need to provide the name and policy number of the dependent you wish to remove."
"122","Aapko us dependent ka naam aur policy number dena hoga jise aap hataana chahte hain."
"123","Please note that dependents can only be removed from a plan during the annual enrollment period or due to a qualifying life event, such as a divorce or a dependent reaching the age of 26."
"124","Kripya dhyaan dein ki dependents ko sirf annual enrollment period mein ya qualifying life event ke dauran hi plan se hataaya ja sakta hai, jaise divorce hona ya dependent ka 26 saal ka ho jaana."
"125","I can imagine your frustration, sir."
"126","Main aapki frustration samajh sakta hoon, sir."
"127","It must be exhausting to keep calling and not get the answers you need."
"128","Yeh thoda thakane wala hoga ki baar-baar call kar rahe ho aur aapko jawab nahi mil rahe hain."
"129","Let's see if we can change that today."
"130","Chaliye dekhte hain agar hum aaj isse badal sakte hain."
"131","I'll take a look at your order right now and give you a clear update."
"132","Main abhi aapke order ko dekh kar aapko clear update dunga."
"133","Please hold on for just a moment."
"134","Kripya bas thodi der ruk jaiye."
"135","Thank you for your patience."
"136","Aapke patience ke liye dhanyawaad."
"137","It looks like the recent storms in your area have delayed your package at the shipping facility."
"138","Lagta hai ki aapke area mein recent storms ke wajah se aapka package shipping facility mein delay ho gaya hai."
"139","I completely understand this isn't the news you wanted to hear, especially with how it's impacting your package."
"140","Main bilkul samajhta hoon ki yeh wo news nahi thi jo aap sunna chahte the, khaas karke jab yeh aapke package ko impact kar rahi hai."
"141","I do apologize for the inconvenience."
"142","Main aapko is asuvidha ke liye maafi chahta hoon."
"143","Ham aapako prakriya shuroo hone se pahale hee usake lie anumaanit laagat bata sakate hain."
"144","Hum aapko process shuru hone se pehle hi uske liye estimated cost bata sakte hain."
"145","Lekin aapako apane dekhabhaal pradaata ke saath vaastavik laagat kee pushti karanee hogee."
"146","Lekin aapko apne care provider ke saath actual cost ki confirmation karni hogi."
"147","Aap hamaaree vebasait par apane khaate mein log in karake aur sanketon ka paalan karake ya hamaaree graahak seva lain par kol karake laagat anumaan ka anurodh kar sakate hain."
"148","Aap hamari website par apne account mein login karke aur instructions follow karke ya hamare customer service line par call karke cost estimate request kar sakte hain."
"149","Agrim mein laagat anumaan praapt karana ek achchha vichaar hai taaki aapako apanee vitteey jimmedaariyon kee behatar samajh ho sake."
"150","Advance mein cost estimate lena ek achha idea hai taaki aap apni financial responsibilities ko better samajh sakein."
"151","I totally get it sir, and I truly appreciate your patience throughout all of this."
"152","Main bilkul samajhta hoon, sir, aur main aapke patience ko sach mein sarahata hoon is sab ke dauran."
"153","It's never easy dealing with something like this, especially when it feels like there's no clear solution."
"154","Aise cheezon ko handle karna kabhi aasan nahi hota, khaas kar jab lagta hai ki koi clear solution nahi hai."
"155","But I'm confident the replacement will solve the problem."
"156","Lekin mujhe pura vishwas hai ki replacement problem solve kar dega."
"157","And just to reassure you, I'll keep an eye on the order and follow up to make sure everything goes smoothly from here."
"158","Aur aapko reassure karne ke liye, main order par nazar rakhoonga aur follow up karunga taaki sab kuch yahan se smoothly ho."
"159","I'll also be in touch personally to check in and make sure you're not left with any further issues."
"160","Main personally bhi contact mein rahunga taaki aapko koi aur problem na ho aur sab kuch theek ho."
"161","We'll make sure to expedite the shipping for you."
"162","Hum aapke liye shipping ko jaldi karenge."
"163","The replacement should arrive within 2 to 3 business days."
"164","Replacement 2 se 3 business din ke andar aana chahiye."
"165","And we'll send you an email confirmation with the tracking information as soon as it ships out."
"166","Aur hum aapko email confirmation bhejenge jisme tracking information hogi, jaise hi wo ship ho jayega."
"167","I'll also personally follow up to ensure the new thermostat is working properly once you've received it."
"168","Main personally follow up karunga taaki yeh ensure kar sakein ki naya thermostat sahi se kaam kar raha ho, jab aap ise receive karenge."
"169","In the meantime, if there's anything we can do to alleviate the situation, like providing additional support or suggestions, I'd be happy to assist."
"170","Tab tak, agar hum koi bhi madad kar sakte hain situation ko thoda asaan banane ke liye, jaise additional support ya suggestions dena, toh main madad karne ke liye tayaar hoon."
"171","Sure, I would be glad to."
"172","Bilkul, main khushi se bataunga."
"173","Term life insurance provides coverage for a specific period of time, usually 10, 20, or 30 years."
"174","Term life insurance ek specific time period ke liye coverage deta hai, aam taur par 10, 20, ya 30 saal ke liye."
"175","It is the most affordable type of life insurance, but it does not build cash value."
"176","Yeh life insurance ka sabse sasta type hai, lekin isse cash value nahi banti."
"177","Whole life insurance, on the other hand, provides lifelong coverage and also builds cash value over time."
"178","Whole life insurance, dusri taraf, lifelong coverage deta hai aur waqt ke saath cash value bhi banata hai."
"179","Which you can borrow against or withdraw."
"180","Jise aap udhaar le sakte hain ya nikaal bhi sakte hain."
"181","Universal life insurance is a flexible type of policy that combines the features of term and whole life."
"182","Universal life insurance ek flexible type ki policy hai jo term aur whole life ke features ko combine karti hai."
"183","I apologize for the inconvenience this has caused, Mr. Ferguson."
"184","Main is asuvidha ke liye maafi chahta hoon jo aapko hui hai, Mr. Ferguson."
"185","I understand how critical it is to have a functioning air conditioner in this heat, especially with children in the house."
"186","Main samajhta hoon ki is garmi mein, khaas kar jab ghar mein bachche ho, ek kaam karta hua air conditioner hona kitna zaroori hai."
"187","Let me review your account and see if there's anything we can do to expedite this."
"188","Mujhe aapka account dekhne dijiye aur dekhte hain agar hum is process ko jaldi karne ke liye kuch kar sakte hain."
"189","Please hold for a moment."
"190","Kripya thodi der ke liye rukiye."
"191","I see the issue here; unfortunately, our remote diagnostics have not resolved the problem."
"192","Mujhe yahan problem dikhayi de rahi hai; afsos, hamare remote diagnostics se problem solve nahi ho paayi."
"193","And the next step is to have a technician visit and fix the unit."
"194","Aur agla step yeh hoga ki ek technician ko bheja jaye jo unit ko thik kare"
"195","I completely understand, sir."
"196","Main bilkul samajhta hoon, sir."
"197","I can't imagine how uncomfortable it must be right now, and I'm really sorry for all the trouble you've had."
"198","Main nahi soch sakta ki abhi aapko kitna asuvidha ho raha hoga, aur main aapke sabhi takleefon ke liye sach mein maafi chahta hoon."
"199","I'll do everything I can to make sure this replacement resolves the issue once it arrives."
"200","Main jo kuch bhi kar sakta hoon, wo karunga taaki yeh replacement jab aayega, to problem solve ho jaye."
"201","If you need any help setting it up, please feel free to reach out, and I'll be more than happy to walk you through the process."
"202","Agar aapko setup karne mein koi madad chahiye, toh bina jhijak hamse contact karein, main khushi se aapko process samjha dunga."
"203","I'll even schedule a call back for you when it's delivered if that's more convenient."
"204","Main delivery ke baad aapke liye call back schedule kar dunga agar yeh aapke liye zyada convenient ho."
"205","I completely understand how this delay is putting you in a difficult position with your customer."
"206","Main bilkul samajhta hoon ki yeh delay aapko apne customer ke saath mushkil mein daal raha hai."
"207","And I'm really sorry it's caused you so much stress."
"208","Aur main sach mein maafi chahta hoon ki isse aapko itna stress hua hai."
"209","While I can't change the weather, what I can do is make sure your package gets the priority it needs."
"210","Jabki main mausam nahi badal sakta, jo main kar sakta hoon wo yeh hai ki main ensure karunga ki aapka package ko zaroori priority mile."
"211","Now that it's back in transit, I'll also personally follow up with you tomorrow to make sure it's arrived on time."
"212","Ab jab yeh dubara transit mein hai, main kal personally aapke saath follow up karunga taaki yeh ensure ho sake ki package time par pohonch gaya ho."
"213","So you won't have to worry about chasing down updates."
"214","Isliye aapko updates ke liye bhaag-daud karne ki chinta nahi karni padegi."
"215","I completely understand."
"216","Main bilkul samajhta hoon."
"217","I know it must be very challenging when you're the one facing your customer's frustration."
"218","Mujhe pata hai ki jab aapko apne customer ki frustration ka samna karna padta hai, toh wo kaafi challenging hota hai."
"219","But on the bright side, at least you have a concrete update to share with them now."
"220","Lekin achhi baat yeh hai ki ab aapke paas unhe dene ke liye ek solid update hai."
"221","And you can let them know it's arriving tomorrow."
"222","Aur aap unhe bata sakte hain ki yeh kal aa raha hai."
"223","Plus, I'll be here to follow up and make sure everything's on track."
"224","Iske alawa, main yahaan hoon follow up karne ke liye aur ensure karne ke liye ki sab kuch sahi chal raha hai."
"225","It sounds like you've been handling this situation really well, given how much is out of your control."
"226","Yeh lagta hai ki aap is situation ko kaafi acchi tarah handle kar rahe ho, jabki jitna kuch aapke control mein nahi tha."
"227","After you submit the appeal, our claims department will review your case."
"228","Jab aap appeal submit karenge, hamara claims department aapke case ko review karega."
"229","And determine whether the charges are covered under your plan."
"230","Aur yeh decide karega ki charges aapke plan ke under covered hain ya nahi."
"231","We'll notify you of the decision in writing."
"232","Hum aapko decision likhit roop mein notify karenge."
"233","If the appeal is successful and the charges are covered, you'll receive an adjusted medical invoice that will show your refund amount."
"234","Agar appeal successful hoti hai aur charges covered hote hain, toh aapko ek adjusted medical invoice milega jisme aapka refund amount dikhai dega."
"235","If the appeal is denied, you'll receive a letter explaining the reasons for the decision."
"236","Agar appeal deny ho jati hai, toh aapko ek letter milega jo decision ke reasons ko explain karega."
"237","I completely understand your frustration, Mr. Davis, given the situation."
"238","Main aapki frustration ko bilkul samajhta hoon, Mr. Davis, is situation ko dekhte hue."
"239","And based on your warranty coverage, I'd recommend we send you a replacement thermostat at no cost."
"240","Aur aapke warranty coverage ke adhar par, main recommend karunga ki hum aapko ek replacement thermostat bina kisi cost ke bhejein."
"241","We'll take care of the shipping and everything."
"242","Hum shipping aur sab kuch handle karenge."
"243","And you'll get a prepaid return label to send the current one back once the new unit arrives."
"244","Aur aapko ek prepaid return label milega taaki aap current unit ko wapas bhej sakein, jaise hi naya unit arrive hota hai."
"245","I know this doesn't help you immediately, but does that sound like a good solution for you?"
"246","Mujhe pata hai ki yeh turant aapki madad nahi karega, lekin kya yeh aapke liye ek achha solution lagta hai?"
"247","I understand, Mr. Garfield."
"248","Main samajhta hoon, Mr. Garfield."
"249","Let me take a look at the notifications we sent to you."
"250","Main aapko bheje gaye notifications ko dekh leta hoon."
"251","I see here that a payment reminder was emailed to you a few days before the due date."
"252","Mujhe yeh dikhai de raha hai ki due date se kuch din pehle aapko ek payment reminder email kiya gaya tha."
"253","But sometimes those can end up in Spam folders or get missed."
"254","Lekin kabhi-kabhi yeh spam folders mein chala jata hai ya miss ho jata hai."
"255","What I can do for you is set up a text alert for future bills."
"256","Jo main aapke liye kar sakta hoon woh yeh hai ki aapke future bills ke liye ek text alert set kar doon."
"257","That way you'll get a direct notification on your phone as well as an email."
"258","Is tareeke se aapko direct notification aapke phone par milega, saath hi email bhi."
"259","Would that be helpful?"
"260","Kya yeh madadgar hoga?"
"261","I'm so glad I could explain it in more detail for you."
"262","Main bahut khush hoon ki main aapko zyada detail mein samjha paaya."
"263","And just to make sure everything is crystal clear, your subscription will renew every 6 months at the $49.99 rate."
"264","Aur yeh ensure karne ke liye ki sab kuch bilkul clear ho, aapka subscription har 6 mahine mein $49.99 ke rate par renew hoga."
"265","Unless you choose to cancel before the renewal date."
"266","Jab tak aap renewal date se pehle cancel nahi karte."
"267","You'll receive an email reminder about a week before your subscription renews."
"268","Aapko ek email reminder milega, subscription renew hone se ek hafte pehle."
"269","So you won't be caught off guard again."
"270","Isliye aap phir se surprise nahi honge."
"271","Does that sound like it will work for you?"
"272","Kya yeh aapke liye kaam karega?"
"273","I realize it can be quite frustrating when you've been told different things each time."
"274","Mujhe samajh aata hai ki yeh kaafi frustrating ho sakta hai jab aapko har baar kuch alag bataya jata hai."
"275","And I completely understand how it feels like you're being left in the dark."
"276","Aur main bilkul samajhta hoon ki yeh kaise lagta hai jab aapko andhere mein chhoda gaya ho."
"277","What I can tell you is that the storms caused some widespread delays."
"278","Jo main aapko bata sakta hoon woh yeh hai ki toofan ne kaafi badhi der ho gayi thi."
"279","But the good news is your package is now back on track and should arrive tomorrow."
"280","Lekin acchi khabar yeh hai ki aapka package ab sahi raaste par aa gaya hai aur kal tak pahuch jana chahiye."
"281","I can see that it left our shipping facility a few hours ago."
"282","Mujhe yeh dikhai de raha hai ki yeh kuch ghante pehle humari shipping facility se nikal gaya tha."
"283","Sure, let me explain that to you."
"284","Haan, main aapko yeh samjhaata hoon."
"285","You can earn points by using your credit card for purchases."
"286","Aap apne credit card ka istemal karke kharidari karne par points kama sakte hain."
"287","And the number of points you earn will depend on the type of purchase and the amount you spend."
"288","Aur jitne points aap kamayenge, woh kharidari ke type aur aapke kharch par depend karenge."
"289","You can redeem your points for a variety of rewards such as cashback, statement credits, or travel rewards."
"290","Aap apne points ko kai tarah ke rewards ke liye redeem kar sakte hain, jaise cashback, statement credits, ya travel rewards."
"291","You can view a full list of rewards and their point values on our website."
"292","Aap hamari website par rewards aur unke point values ki poori list dekh sakte hain."
"293","Once we receive the necessary documentation, it typically takes about five to seven business days for the new dependent to be added to the plan."
"294","Jab humein zaroori documentation mil jata hai, toh aam taur par naye dependent ko plan mein add karne mein 5 se 7 kaam ke din lagte hain."
"295","In the meantime, you can add your new dependent to your insurance card by calling our customer service line and requesting a temporary ID number."
"296","Is dauran, aap apne naye dependent ko apne insurance card mein add kar sakte hain, hamari customer service line par call karke aur temporary ID number maang kar."
"297","This can be used to obtain medical care until the permanent ID card is issued."
"298","Is temporary ID ko medical care lene ke liye istemal kiya ja sakta hai jab tak permanent ID card issue nahi ho jata."
"299","I completely understand your hesitation."
"300","Main bilkul samajh sakta hoon aapki jhijhak."
"301","To make things even more flexible for you, I'll ensure that you can cancel at any time during the next 3 months without any additional charges."
"302","Aapke liye cheezein aur flexible banane ke liye, main ensure karunga ki aap agle 3 mahine mein kabhi bhi cancel kar sakein bina kisi additional charges ke."
"303","This way, you can enjoy the discounted rate, still get to watch all of your favorite shows and movies."
"304","Is tarah, aap discount rate ka faayda utha sakte hain, aur apne favorite shows aur movies dekh sakte hain."
"305","And if you still find it challenging, you're free to cancel whenever you need to."
"306","Aur agar aapko ab bhi mushkil lagta hai, toh aap jab chahein cancel kar sakte hain."
"307","I completely understand how you feel."
"308","Main bilkul samajh sakta hoon aap jo feel kar rahe hain."
"309","It can be easy to overlook those details."
"310","Yeh details ignore karna asaan ho sakta hai."
"311","Just to clarify, during the signup process, we did outline that after the six-month free trial, the service would automatically renew at $49.99 for another 6-month period."
"312","Bas clear karne ke liye, signup process ke dauraan humne yeh bataya tha ki 6 mahine ke free trial ke baad, service automatically $49.99 mein renew ho jayegi agle 6 mahine ke liye."
"313","I know sometimes the fine print can be hard to catch, especially when you're eager to try out something new."
"314","Mujhe pata hai ki kabhi-kabhi fine print samajhna mushkil hota hai, khaas kar jab aap kuch naya try karne ke liye excited hote hain."
"315","To apply for a policy loan, you need to provide us with some basic information such as your policy number and the amount you would like to borrow."
"316","Policy loan ke liye apply karne ke liye, aapko humein kuch basic information deni hogi, jaise ki aapka policy number aur kitna paisa aap udhaar lena chahte hain."
"317","We will then review your request, and if approved, we will send you the loan agreement to sign."
"318","Phir hum aapki request ko review karenge, aur agar approve ho gayi, toh hum aapko loan agreement bhejenge sign karne ke liye."
"319","Once the loan is approved, the funds will be dispersed to you in the manner specified in the loan agreement."
"320","Jab loan approve ho jayega, paisa aapko loan agreement mein diye gaye tareeke se diya jayega."
"321","That sounds very frustrating."
"322","Yeh kaafi frustrating lag raha hai."
"323","I'm going to check the notes from your previous call to see what troubleshooting steps have already been taken."
"324","Main aapke pichle call ke notes check karunga/karungi taaki dekh sakoon ki kaunse troubleshooting steps pehle liye gaye hain."
"325","Please hold for a few minutes."
"326","Kripya kuch minute ke liye hold par rahiye."
"327","It looks like you've already gone through the basic troubleshooting steps."
"328","Aisa lagta hai ki aap already basic troubleshooting steps se guzar chuke hain."
"329","Unfortunately, it seems like this might be an issue that requires a technician to come out."
"330","Afsoos ki baat hai, lagta hai ki yeh issue aisa ho sakta hai jisme technician ko aake dekhna padega."
"331","Absolutely Mo'Nique, your plan includes coverage for mental health services including therapy and counseling."
"332","Bilkul Mo'Nique, aapke plan mein mental health services, jaise therapy aur counseling, ke liye coverage shamil hai."
"333","Depending on the specifics of the provider and type of service, you may have a co-payment or co-insurance."
"334","Provider aur service ke type ke hisaab se, ho sakta hai aapko co-payment ya co-insurance dena pade."
"335","I can check your specific benefits if you provide me with the names of any mental health professionals you're considering."
"336","Main aapke specific benefits check kar sakta hoon agar aap mujhe koi bhi mental health professionals ke naam bata dein jinke baare mein aap soch rahe hain."
"337","That's a great question."
"338","Yeh ek accha sawal hai."
"339","While your plan does offer some coverage for emergency medical expenses abroad, it's essential to be aware that coverage may be limited."
"340","Aapke plan mein emergency medical expenses ke liye kuch coverage hai, lekin yeh zaroori hai ki aap jaan lein ki coverage limited ho sakta hai."
"341","I recommend contacting our travel assistant hotline before your trip to get more information and guidance on international coverage."
"342","Main aapko salah deta hoon ki apne trip se pehle hamare travel assistant hotline se sampark karein taaki aapko international coverage par adhik jankari aur margdarshan mil sake."
"343","They'll be able to provide specific details."
"344","Woh aapko specific details de sakte hain."
"345","Congratulations on your new addition."
"346","Aapko naye member ke liye badhai ho."
"347","Adding a dependent to your plan is a simple process."
"348","Apne plan mein dependent add karna ek asaan prakriya hai."
"349","First, you'll need to provide proof of the new dependent's relationship to you, such as a birth certificate or adoption papers."
"350","Sabse pehle, aapko naye dependent ka aap se rishta sabit karne ke liye proof dena hoga, jaise ki birth certificate ya adoption papers."
"351","You can do this by logging into your account on our website and uploading the documents or by mailing them to our office."
"352","Aap yeh hamare website par apne account mein login karke aur documents upload karke ya unhe hamare office ko mail karke kar sakte hain."
"353","All right, I'm looking at your bill and it looks like the standard charge for your plan is still $80."
"354","Theek hai, main aapka bill dekh raha hoon aur lagta hai ki aapke plan ka standard charge abhi bhi $80 hai."
"355","However, I'm seeing a few additional fees this month."
"356","Lekin, main is mahine kuch additional fees dekh raha hoon."
"357","One of them is a late payment fee from last month."
"358","Unmein se ek last month ka late payment fee hai."
"359","And there's also a data overage charge."
"360","Aur ek data overage charge bhi hai."
"361","Have you noticed any recent changes in your usage, like more streaming or data use?"
"362","Kya aapne apni usage mein koi recent changes dekhe hain, jaise zyada streaming ya data use?"
"363","That's an important aspect of mental health care."
"364","Yeh mental health care ka ek zaroori hissa hai."
"365","If you need to consult with a psychiatrist for medication management, it falls under your Behavioral Health Coverage."
"366","Agar aapko medication management ke liye psychiatrist se consult karna hai, toh yeh aapke Behavioral Health Coverage ke andar aata hai."
"367","Keep in mind you may need a referral from your primary care physician."
"368","Yeh yaad rakhein ki aapko apne primary care physician se referral ki zaroorat ho sakti hai."
"369","And any medications prescribed will be subject to your prescription drug benefits."
"370","Aur jo bhi medications prescribe kiye jayenge, woh aapke prescription drug benefits ke andar aayenge."
"371","I understand how you feel, sir."
"372","Main samajh sakta hoon aapko kaisa mehsoos ho raha hai, sir."
"373","Thank you again for your patience."
"374","Aapke patience ke liye phir se dhanyawaad."
"375","I'll send you an email shortly with all the details about the replacement and the return process."
"376","Main aapko jaldi hi ek email bhejunga, jisme replacement aur return process ke sabhi details honge."
"377","If there is anything else you need in the meantime, please don't hesitate to reach out."
"378","Agar is beech koi aur madad chahiye ho, toh bina jhijak humse sampark karein."
"379","I'll be keeping an eye on the progress so you don't have to follow up."
"380","Main progress par nazar rakhoonga taaki aapko follow-up karne ki zarurat na ho."
"381","I see."
"382","Samajh gaya."
"383","You have the right to appeal any denied claim or coverage decision."
"384","Aapke paas kisi bhi deny ki gayi claim ya coverage decision par appeal karne ka hak hai."
"385","To do so you'll need to submit a written request for appeal along with any supporting documentation such as a letter from your doctor explaining the medical necessity of the procedure."
"386","Iske liye aapko appeal ke liye likhit request deni hogi, saath hi koi supporting documentation, jaise ki aapke doctor ka letter jo procedure ki medical necessity ko explain karta ho."
"387","You can download the appeal form from our website."
"388","Aap hamari website se appeal form download kar sakte hain."
"389","C covers a wide range of medical services including preventative care, doctor's visits, and prescription medications."
"390","C kai tarah ke medical services cover karta hai, jaise ki preventative care, doctor ki visits, aur prescription medications."
"391","It also has low out-of-pocket costs."
"392","Isme out-of-pocket costs bhi kam hain."
"393","The monthly premium is higher than the other plans, but it may be a good choice if you anticipate needing a significant amount of medical care in the future."
"394","Iska monthly premium doosre plans se zyada hai, lekin agar aapko future mein kaafi medical care ki zarurat ho sakti hai, toh yeh acha choice ho sakta hai."
"395","Fantastic! I'm happy we could get everything sorted out."
"396","Fantastic! Main khush hoon ki hum sab kuch theek kar paaye."
"397","Just a quick reminder, your next renewal will be on March 15th next year."
"398","Ek chhoti si yaad dilaane ke liye, aapka agla renewal agle saal 15 March ko hoga."
"399","And you'll receive a reminder before then."
"400","Aur aapko usse pehle reminder mil jayega."
"401","If you have any questions or want to make changes to your subscription at any time, feel free to contact us."
"402","Agar aapko koi sawaal ho ya aap apni subscription mein koi changes karna chahein, toh hamesha humse sampark karein."
"403","We are always here to help."
"404","Hum hamesha madad ke liye yahan hain."
"405","I'm really sorry that didn't resolve the issue."
"406","Mujhe sach mein afsos hai ki isse problem solve nahi hui."
"407","It definitely sounds like you've done everything right on your end."
"408","Yeh bilkul lagta hai ki aapne apni taraf se sab kuch sahi kiya hai."
"409","At this point, it seems like the thermostat may have a hardware issue that we won't be able to fix remotely."
